Date,Nominal Price,Net Change,Change (%),Bid,Ask,P/E(x),High,Low,Previous Close,Share Volume (000),Turnover (000),Lot Size
2022-08-16,0.1,,,0.094,0.1,,0.1,0.097,0.098,710.0,70.0,
2022-08-15,0.098,,,0.094,0.106,,,,0.098,0.0,0.0,
2022-08-12,0.098,,,0.098,0.1,,0.098,0.096,0.097,10390.0,1007.0,
2022-08-11,0.097,,,0.095,0.097,,0.099,0.095,0.097,8345.0,807.0,
2022-08-10,0.097,,,0.093,0.097,,0.097,0.094,0.097,5775.0,553.0,
2022-08-09,0.097,,,0.092,0.097,,0.097,0.092,0.097,5045.0,475.0,
2022-08-08,0.097,,,0.09,0.097,,0.098,0.095,0.098,3860.0,373.0,
2022-08-05,0.098,,,0.096,0.098,,0.1,0.097,0.099,8550.0,839.0,
2022-08-04,0.099,,,0.096,0.099,,0.1,0.096,0.098,8740.0,857.0,
2022-08-03,0.098,,,0.093,0.098,,0.098,0.096,0.098,5160.0,500.0,
2022-08-02,0.098,,,0.093,0.098,,0.099,0.096,0.099,5825.0,569.0,
2022-08-01,0.099,,,0.096,0.099,,0.1,0.098,0.099,10640.0,1047.0,
2022-07-29,0.099,,,0.095,0.099,,0.1,0.096,0.1,13545.0,1330.0,
2022-07-28,0.1,,,0.098,0.1,,0.1,0.098,0.101,9780.0,968.0,
